message_id,message_date,issue_type,context
45631,2026-03-08T07:29:19,body_row_without_timestamp,"Лахиш | Сдэ Узиягу, Штулим, Эзер, Азрикам, Эйн Цурим, Кирьят Малахи, Эмуним, Шафир, Алума, Бейт Эзра, Инон, Кфар Ахим, Негба, Нир Баним, Промзона Беэр Тувья, Масуот Ицхак, Ашдот ЙудАлеф,Йу"
45631,2026-03-08T07:29:19,body_row_without_timestamp,"Западный Лахиш | Южная промзона Ашкелона, Гея, Бейт Шикма, Ашкелон - Южная часть, Ницаним, Кохав Михаэль, Ходайя, Бат Хадар, Нир Исраэль, Кфар Сильвер, Ницан, Мишан, Северная промзона Ашкелона, Бер"
45631,2026-03-08T07:29:19,body_row_without_timestamp,"Округ Газа | Зиким, Пляж Хоф Зиким"
45631,2026-03-08T07:29:19,body_row_without_timestamp,Шфелат Йегуда | Кфар Менахем
46188,2026-03-09T01:36:31,body_row_without_timestamp,"Яркон | Кфар Труман, Неот Кдумим"
46842,2026-03-10T10:01:11,body_row_without_timestamp,"Западный Лахиш | Берекия, Ходайя"
46842,2026-03-10T10:01:11,body_row_without_timestamp,"Лахиш | Зрахия, Сгула, Нир Баним"
47016,2026-03-10T14:49:28,body_row_without_timestamp,"Ха-Кармель | Неве Ям, Офер, Эйн Аяла"
47016,2026-03-10T14:49:28,body_row_without_timestamp,"ניר עציון, ימין אורד | ניר עציון, ימין אורד"
48509,2026-03-12T15:04:45,body_row_without_timestamp,"Самария | Офарим, Алей Захав, Падуель"
48668,2026-03-13T01:54:12,body_row_without_timestamp,"Ха-Амаким | Хошайя, Шадмот Двора, ха-Йогев, Иксаль, Шибли, Кфар ха-Хореш, Нахалаль, Кфар Тиква, Бейт Кешет, Кадури, Промзона Ципорит, Хардуф, Бейт Лехем ха-Глилит, Ифат, Доврат, Хавальд, Сауад"
48668,2026-03-13T01:54:12,body_row_without_timestamp,"Нижняя Галилея | Вади Эль Хамам, Сдэ Илан, Кфар Нехар ха-Ярден, Ходайот, Кфар Кама, Шарона, Кфар Хитим, Кфар Зеитим, ха-Зорим, Тверия, Мицпе, Мигдаль, Равид, Лави, Гиват Авни, Наби Шуайеб"
48668,2026-03-13T01:54:12,body_row_without_timestamp,"Ха-Кармель | Бейт Цви, Далият эль Кармель, Центр Мерав, Мегадим, Гиват Вольфсон, Эйн Од, Керем Махарал, Эйн Кармель, Атлит, Бейт Орен, Молодежный поселок Ямин Орд, Эйн Ход, Гева Кармель"
48668,2026-03-13T01:54:12,body_row_without_timestamp,Менаше | Нешер
48668,2026-03-13T01:54:12,body_row_without_timestamp,"Вади Ара | Рамот Менаше, Далья"
49067,2026-03-13T23:24:12,body_row_without_timestamp,"Самария | Маале Левона, Халамиш, Офарим, Атерет, Адей Ад, Амихай, Шило"
49067,2026-03-13T23:24:12,body_row_without_timestamp,"Яркон | Бейт Ариф, Шохам, Аэропорт, Беит Нехемия, Хадид, Кфар Труман"
49067,2026-03-13T23:24:12,body_row_without_timestamp,"Ха-Шфела | Аянот, Ришон Ле Цион - Восток, Гинатон, Бейт Овед, Нес Циона, Молодежная деревня Бен Шемен, Бейт Ханан, Промзона Црифин, Нир Цви, Бен Шемен, Лод, Ирус, Беэр Яаков, Ахиэзер, Нецер С"
49067,2026-03-13T23:24:12,body_row_without_timestamp,Лахиш | Кфар ха-Нагид
50895,2026-03-17T17:46:00,body_row_without_timestamp,"Ха-Амаким | Райне, Рамат Давид, Рамат Ишай, Сдэ Яаков, Шимшит, Шаар ха-Амаким, Сарид, Тель Адашим, Тимрат, Бейт Кешет, Дабурия"
50895,2026-03-17T17:46:00,body_row_without_timestamp,"Ха-Кармель | Тюрьма Кишон, Бат Шломо, Гева Кармель"
51276,2026-03-18T00:32:48,body_row_without_timestamp,Самария | Мигрон
51276,2026-03-18T00:32:48,body_row_without_timestamp,מצפה דני | מצפה דני
51276,2026-03-18T00:32:48,body_row_without_timestamp,מצפה חגית | מצפה חגית
51276,2026-03-18T00:32:48,body_row_without_timestamp,נווה ארז | נווה ארז
51703,2026-03-18T23:36:32,body_row_without_timestamp,"Шарон | Ход ха-Шарон, Хагор, Хорашим, Ярхив, Яркона, Кфар Бара, Кфар Малаль, Кфар Саба, Кфар Касем"
52754,2026-03-20T13:56:25,leading_plain_fragment,"Цфат - город, Рош Пина, Амирим, Гадот, Кфар Шамай, Мишмар ха-Ярден, Амука, Шефер, Маханаим посадочная площадка
 •"
52754,2026-03-20T13:56:25,body_row_without_timestamp,"Южный Голан | Альмагор, Аниам, Хад Нес, Йонатан, Канаф, Маале Гамла, Кидмат Цви, Кацрин - Промзона, Кацрин, Кешет"
52754,2026-03-20T13:56:25,body_row_without_timestamp,מרכז אזורי רמת כורזים | מרכז אזורי רמת כורזים
52754,2026-03-20T13:56:25,body_row_without_timestamp,"Иерусалим | Иерусалим - юг, Ора, Аминадав"
53049,2026-03-20T21:39:40,body_row_without_timestamp,"Дан | Тель Авив - Восток, Бат-Ям, Рамат Ган - восток, Тель Авив - Южный Район и  Яффо, Петах Тиква, Гат Римон, Микве Исраэль, Кфар Сиркин, Савьон, Холон, Кирьят Оно, Магшимим, Йехуд Монс"
53049,2026-03-20T21:39:40,body_row_without_timestamp,"Ха-Шфела | Ганот, Мишмар ха-Шива, Бейт Даган, Хемед, Ришон ле Цион - запад"
53049,2026-03-20T21:39:40,body_row_without_timestamp,"Яркон | Беэрот Ицхак, Эйнат, Рош ха-Айн, Нахшоним, Ринатия, Нофех, Нехалим, Эльад, Мазор"
53049,2026-03-20T21:39:40,body_row_without_timestamp,Лахиш | Пальмахим
53049,2026-03-20T21:39:40,body_row_without_timestamp,"Самария | Промзона Ариэль, Брухин"
